symbol,price_change_pct,volume_change_pct,volatility_score,rsi,moving_average_gap,target_up
TCS,3.07,0.69,2.32,43.06,3.05,1
INFY,1.12,-8.3,3.45,69.64,1.13,1
HDFCBANK,1.37,5.92,2.93,28.42,1.46,1
ICICIBANK,-2.67,-16.39,2.65,57.77,-1.0,0
SBIN,2.87,4.22,0.85,62.36,1.46,1
LT,4.03,-9.51,1.36,46.91,3.03,1
ITC,-2.43,15.18,3.37,57.73,3.0,1
AXISBANK,-2.92,-0.61,1.88,38.8,3.07,1
BHARTIARTL,-4.31,4.64,0.94,35.21,1.07,1
RELIANCE,-4.32,-10.13,2.5,32.66,1.25,1
TCS,-3.23,14.22,2.19,62.67,1.81,1
INFY,-3.26,-7.47,3.05,66.95,-1.61,0
HDFCBANK,3.68,3.26,2.53,40.72,1.0,1
ICICIBANK,1.62,-13.37,2.92,46.04,0.75,1
SBIN,-3.24,-14.94,1.49,25.09,0.19,0
LT,-3.34,-15.32,3.34,49.66,-0.54,0
ITC,-2.29,21.34,3.39,31.57,0.21,0
AXISBANK,-3.05,3.73,2.29,42.94,-1.24,0
BHARTIARTL,-0.68,-14.5,2.24,41.59,0.73,0
RELIANCE,0.26,6.22,0.83,43.17,-0.62,1
TCS,1.8,-1.78,3.41,68.96,-3.19,1
INFY,4.36,-6.17,0.81,64.23,-1.79,1
HDFCBANK,2.83,15.27,0.6,42.55,-2.94,1
ICICIBANK,0.36,-12.5,1.51,42.27,0.27,1
SBIN,2.11,-12.67,3.08,26.91,-2.47,1
LT,1.2,-10.96,2.0,69.29,0.01,1
ITC,-3.68,-7.33,1.55,57.9,-2.23,0
AXISBANK,4.47,-4.46,1.84,68.97,1.54,1
BHARTIARTL,2.33,17.25,0.56,54.21,-1.78,1
RELIANCE,-0.17,-13.26,2.33,38.9,-1.8,0
TCS,-1.54,-4.59,3.36,34.27,-2.84,0
INFY,4.11,6.81,3.19,77.31,3.06,1
HDFCBANK,-4.42,22.5,2.24,50.89,0.11,0
ICICIBANK,-2.52,12.11,0.74,67.14,-2.34,0
SBIN,1.59,-7.18,0.95,74.11,-1.62,0
LT,-2.36,19.09,3.24,76.76,-2.28,0
ITC,-0.24,10.46,3.19,67.06,1.81,1
AXISBANK,3.56,-18.29,1.55,39.41,-0.26,1
BHARTIARTL,4.2,12.89,1.82,47.97,2.21,1
RELIANCE,-3.27,-7.42,0.96,76.59,1.66,1
TCS,4.08,12.88,1.58,33.64,-2.78,1
INFY,1.78,-5.79,2.82,70.22,2.48,1
HDFCBANK,-3.11,11.0,3.49,38.21,-2.17,0
ICICIBANK,4.3,-17.54,0.71,31.41,-0.54,1
SBIN,3.03,-14.12,3.25,48.94,2.81,1
LT,-2.91,-2.72,2.9,29.86,0.89,0
ITC,-4.04,12.17,0.75,28.31,0.2,0
AXISBANK,-3.81,13.4,1.44,53.45,-2.37,0
BHARTIARTL,1.56,20.91,2.4,25.52,-1.88,1
RELIANCE,2.31,19.46,1.21,31.81,-0.24,1
TCS,1.35,22.08,1.16,32.91,-2.77,1
INFY,2.14,5.47,1.69,61.89,0.46,1
HDFCBANK,4.36,16.71,1.37,36.34,-1.27,1
ICICIBANK,-1.12,15.77,2.62,46.08,2.24,1
SBIN,-0.2,-10.91,1.03,70.18,-0.12,0
LT,1.1,-7.27,2.02,61.17,-2.77,1
ITC,-2.57,1.62,3.04,62.81,-1.14,0
AXISBANK,-3.8,-15.79,1.06,46.61,0.36,0
BHARTIARTL,2.03,-11.12,1.77,36.79,-0.78,1
RELIANCE,4.13,7.25,3.16,61.99,0.0,1
TCS,0.17,-6.46,3.12,47.3,-2.39,1
INFY,-0.49,-16.96,2.26,34.63,2.63,1
HDFCBANK,-4.35,-14.57,2.28,61.18,0.88,0
ICICIBANK,3.82,11.07,1.36,69.28,-1.26,1
SBIN,-1.05,10.26,0.99,53.83,2.52,1
LT,-1.76,-18.64,1.46,67.32,-2.92,0
ITC,-1.64,16.17,1.77,30.69,2.58,1
AXISBANK,0.39,22.64,1.31,58.32,-1.53,1
BHARTIARTL,-0.67,21.49,3.44,74.02,1.77,1
RELIANCE,1.57,-15.71,3.5,72.61,0.25,0
TCS,3.33,-2.02,2.07,26.35,-0.1,1
INFY,-3.67,-1.28,2.9,27.6,0.82,0
HDFCBANK,-0.21,16.33,2.86,34.39,-2.93,0
ICICIBANK,-1.06,10.25,0.71,26.34,-2.98,0
SBIN,0.25,-19.82,1.18,43.74,0.2,1
LT,-1.06,12.86,2.21,54.18,-1.99,0
ITC,3.32,4.81,3.31,75.14,1.56,1
AXISBANK,-3.47,7.39,2.67,55.67,0.76,0
BHARTIARTL,3.93,5.95,1.78,43.83,0.41,1
RELIANCE,1.03,-7.86,0.93,29.35,-3.16,1
TCS,-0.61,0.88,1.9,74.77,0.09,0
INFY,-3.55,13.92,1.9,43.08,-0.32,0
HDFCBANK,-0.03,-17.43,1.65,60.64,0.67,0
ICICIBANK,-2.33,-4.55,0.56,51.07,-2.77,0
SBIN,2.59,-12.7,2.24,32.27,1.9,1
LT,0.39,-17.57,1.44,43.99,-1.92,1
ITC,-4.3,11.33,3.38,30.58,0.34,0
AXISBANK,2.66,13.54,1.68,34.22,1.75,1
BHARTIARTL,-1.87,-12.6,0.62,76.85,2.28,1
RELIANCE,-2.4,9.61,0.94,39.23,1.39,1
TCS,3.23,-15.91,2.04,47.94,-2.35,1
INFY,1.55,-1.76,2.72,66.31,0.58,1
HDFCBANK,0.56,-0.36,1.45,42.98,-0.73,1
ICICIBANK,-4.5,15.17,2.24,58.52,1.69,1
SBIN,-2.42,-3.5,2.64,29.54,0.4,0
LT,-1.84,7.79,2.84,46.83,-0.18,0
ITC,2.42,-19.06,2.8,74.96,1.2,1
AXISBANK,3.75,-18.3,2.9,61.04,2.16,1
BHARTIARTL,-3.19,18.36,3.38,62.0,-0.44,0
RELIANCE,3.13,15.77,2.92,40.66,2.7,1
TCS,-1.0,6.73,0.58,67.34,0.26,0
INFY,-2.41,21.51,0.83,33.83,0.25,0
HDFCBANK,-3.3,-8.44,2.14,33.34,-0.64,0
ICICIBANK,-2.64,-11.13,1.41,48.2,-0.79,0
SBIN,-4.35,-0.35,3.15,70.66,1.94,1
LT,-4.25,24.66,3.47,39.95,-0.02,0
ITC,-3.66,9.73,1.27,63.91,1.63,1
AXISBANK,-3.18,14.23,3.02,68.21,-0.66,0
BHARTIARTL,3.37,-14.14,2.1,43.52,2.53,1
RELIANCE,3.36,-7.3,0.56,35.29,-2.77,1
TCS,-2.67,1.57,0.7,30.08,-2.73,0
INFY,1.02,3.28,2.91,26.77,-0.59,1
HDFCBANK,4.41,-15.87,1.34,72.65,0.6,0
ICICIBANK,-0.78,-17.49,2.77,77.77,0.93,0
SBIN,-3.49,-13.89,2.87,49.84,1.13,1
LT,0.3,10.79,2.82,43.9,2.51,1
ITC,-0.82,23.61,3.15,55.87,-1.25,0
AXISBANK,-2.41,20.42,3.35,61.73,2.58,1
BHARTIARTL,2.73,-7.38,1.81,26.67,-2.13,1
RELIANCE,3.93,16.2,2.49,67.43,2.91,1
TCS,2.46,-9.92,2.86,77.39,-2.91,0
INFY,-1.89,23.44,1.57,75.28,-1.06,0
HDFCBANK,0.8,11.8,1.46,67.57,2.9,1
ICICIBANK,-1.53,3.15,2.86,76.02,-0.05,0
SBIN,0.71,12.3,0.73,33.96,0.68,1
LT,0.74,11.89,2.64,72.9,1.79,1
ITC,0.57,-12.64,2.13,68.95,2.41,1
AXISBANK,1.46,-16.4,2.73,41.51,0.59,1
BHARTIARTL,1.14,-1.34,0.91,56.8,2.01,1
RELIANCE,-3.74,6.59,2.51,57.89,0.6,0
TCS,1.4,15.37,2.04,76.63,-1.13,0
INFY,-0.27,16.21,1.03,60.55,-1.19,0
HDFCBANK,-1.05,-15.75,1.31,72.17,0.31,0
ICICIBANK,-2.04,-1.72,2.02,68.92,-2.25,0
SBIN,-0.53,-0.13,1.31,38.23,1.54,1
LT,2.97,0.23,0.91,74.04,1.88,1
ITC,-1.52,17.45,0.95,40.67,1.92,1
AXISBANK,-0.37,13.09,1.79,65.8,-0.42,0
BHARTIARTL,-0.47,4.0,1.32,25.02,-1.78,0
RELIANCE,2.61,2.7,2.83,52.27,-2.77,1
TCS,-1.11,2.32,0.57,68.36,-1.31,0
INFY,2.28,-2.66,2.17,52.63,-0.65,1
HDFCBANK,-2.96,12.68,3.2,55.37,0.42,0
ICICIBANK,0.63,13.46,2.36,59.02,2.4,1
SBIN,-1.34,-4.08,2.96,62.88,-0.89,0
LT,-0.58,-2.06,3.25,52.67,-2.65,0
ITC,2.17,-8.17,3.16,58.77,-2.02,1
AXISBANK,0.42,-13.53,2.51,75.48,0.74,0
BHARTIARTL,-3.09,-8.85,1.01,58.05,1.95,1
RELIANCE,0.18,22.23,0.75,33.82,0.47,1
TCS,-0.76,-16.81,1.87,26.36,-0.32,0
INFY,4.17,-2.35,1.12,31.64,1.83,1
HDFCBANK,0.4,23.79,1.46,59.07,-0.98,1
ICICIBANK,3.89,8.32,0.94,52.39,0.75,1
SBIN,4.41,1.65,3.27,33.67,-0.34,1
LT,2.78,9.17,2.3,69.88,-0.26,1
ITC,4.11,-19.91,1.12,68.74,-0.8,1
AXISBANK,-1.66,-0.71,3.31,48.22,-1.81,0
BHARTIARTL,-2.0,-7.66,2.91,38.62,-2.5,0
RELIANCE,2.45,-14.69,1.46,70.76,-2.5,0
TCS,3.04,23.95,1.88,31.97,1.99,1
INFY,0.36,-15.98,1.33,44.36,2.88,1
HDFCBANK,-0.27,1.23,2.63,68.84,2.11,1
ICICIBANK,0.94,9.63,1.27,36.59,0.89,1
SBIN,-1.59,-2.33,1.48,73.9,1.71,1
LT,0.87,7.85,2.22,28.64,-2.26,1
ITC,-3.19,-15.66,0.64,47.92,1.46,1
AXISBANK,-3.57,-7.58,2.86,47.6,0.21,0
BHARTIARTL,-4.33,20.71,3.19,29.32,0.48,0
RELIANCE,-4.41,8.19,1.41,57.33,0.32,0
TCS,0.98,5.32,2.25,34.88,-0.8,1
INFY,1.23,15.18,1.64,68.55,-0.69,1
HDFCBANK,2.24,-14.27,2.05,65.59,-0.97,1
ICICIBANK,3.21,-2.62,2.4,53.15,2.29,1
SBIN,-1.65,10.02,3.24,76.79,2.04,1
LT,2.5,21.11,1.9,71.94,2.9,1
ITC,-3.51,11.5,1.06,30.34,-2.76,0
AXISBANK,-2.11,4.04,2.27,55.26,2.17,1
BHARTIARTL,-0.11,20.43,2.67,34.77,3.19,1
RELIANCE,-2.14,-18.38,0.84,43.78,-0.96,0
TCS,2.77,-13.93,2.86,72.11,-2.8,0
INFY,3.7,-3.88,2.87,74.66,1.7,1
HDFCBANK,3.14,-12.98,2.71,73.34,-2.38,0
ICICIBANK,-3.02,12.27,3.27,73.88,0.93,0
SBIN,-2.21,-17.56,1.51,63.57,-3.11,0
LT,1.47,14.04,1.65,61.85,2.86,1
ITC,-2.07,23.17,2.21,54.4,1.54,1
AXISBANK,-2.52,-1.48,1.07,49.81,-0.58,0
BHARTIARTL,-0.85,11.6,3.0,69.73,-1.73,0
RELIANCE,-3.51,-17.01,2.51,44.33,3.13,1
TCS,3.53,-6.82,2.44,33.4,0.88,1
INFY,-1.31,-6.09,1.5,48.2,0.96,0
HDFCBANK,-3.05,-15.75,2.12,39.55,0.49,0
ICICIBANK,-2.65,-15.13,2.95,32.5,-0.17,0
SBIN,-2.05,11.82,1.6,28.27,-1.01,0
LT,-4.23,-7.56,3.29,54.66,3.2,1
ITC,2.83,18.28,1.41,55.22,-1.44,1
AXISBANK,-1.69,3.26,0.59,72.98,-2.38,0
BHARTIARTL,4.12,-18.42,1.97,48.2,-0.46,1
RELIANCE,0.19,2.14,0.62,57.26,2.13,1
TCS,-2.0,1.77,2.42,77.43,1.08,1
INFY,3.79,23.45,1.0,54.37,1.08,1
HDFCBANK,-1.7,-11.5,2.6,58.98,-0.74,0
ICICIBANK,-2.35,-18.88,1.82,63.98,0.86,0
SBIN,-3.4,-6.1,2.91,25.64,1.87,1
LT,1.49,5.16,3.32,32.47,3.2,1
ITC,3.34,-6.13,1.32,71.45,2.37,1
AXISBANK,0.42,15.53,1.18,65.56,-0.47,1
BHARTIARTL,-2.52,24.37,0.79,74.26,1.9,1
RELIANCE,1.75,18.96,2.27,35.51,0.74,1
TCS,0.38,22.85,3.36,49.47,-1.15,1
INFY,0.95,24.43,0.94,30.5,1.29,1
HDFCBANK,3.22,-3.49,1.38,56.37,0.77,1
ICICIBANK,-0.72,10.92,2.15,46.7,-3.16,0
SBIN,-0.41,-7.01,1.73,54.81,-0.97,0
LT,-0.58,12.9,1.67,58.97,-2.44,0
ITC,3.08,-17.23,1.24,25.6,1.6,1
AXISBANK,-0.07,1.39,1.88,45.21,1.45,1
BHARTIARTL,-1.9,-4.57,3.24,57.01,2.14,1
RELIANCE,-4.48,-0.69,0.92,25.64,1.65,1
TCS,4.16,6.39,3.46,32.0,1.47,1
INFY,-4.21,6.09,2.31,66.43,-2.08,0
HDFCBANK,-3.54,-11.56,0.59,44.38,-2.65,0
ICICIBANK,0.0,2.87,2.07,35.9,1.5,1
SBIN,2.25,5.46,1.49,29.65,0.66,1
LT,-1.63,0.45,3.15,46.79,0.29,0
ITC,3.66,12.3,1.08,59.39,3.05,1
AXISBANK,2.81,23.78,2.74,47.28,-1.91,1
BHARTIARTL,2.78,2.67,2.54,26.71,1.3,1
RELIANCE,-1.27,24.58,3.22,61.92,-0.3,0
TCS,0.56,20.41,1.25,68.12,1.08,1
INFY,-1.33,3.78,0.57,33.18,-2.65,0
HDFCBANK,-2.03,-12.05,0.97,50.16,0.36,0
ICICIBANK,1.23,20.03,2.09,73.0,-1.95,0
SBIN,-0.83,-11.1,0.62,72.29,-2.82,0
LT,0.8,0.79,3.43,36.33,1.77,1
ITC,-0.89,-0.46,1.45,35.07,2.93,1
AXISBANK,-4.39,-8.14,1.22,64.86,0.16,0
BHARTIARTL,0.13,14.16,0.92,27.68,-1.14,1
RELIANCE,2.58,-16.43,1.69,70.05,1.24,1
TCS,2.73,-4.94,3.05,28.33,-3.08,1
INFY,-2.11,24.44,2.4,58.91,-2.32,0
HDFCBANK,3.17,3.56,2.19,31.51,1.06,1
ICICIBANK,-1.91,7.41,1.29,34.71,2.39,1
SBIN,2.63,17.62,2.22,71.96,-1.27,0
LT,-4.16,3.61,1.35,31.62,2.43,1
ITC,-3.57,20.14,2.58,63.28,3.16,1
AXISBANK,4.19,16.31,3.48,71.08,-2.33,0
BHARTIARTL,-3.74,15.4,1.55,56.89,-2.84,0
